date,article_count,relevant_article_count,average_risk_score,max_risk_score
2020-03-09,8,8,0.375,3
2020-03-10,3,3,1.0,3
2020-03-11,4,4,0.5,2
2020-03-13,4,4,1.25,5
2020-03-16,2,2,0.0,0
2020-03-17,2,2,1.5,3
2020-03-18,1,1,0.0,0
2020-03-19,3,3,1.0,3
2020-03-20,5,5,1.4,3
2020-03-21,1,1,0.0,0
2020-03-22,1,1,0.0,0
2020-03-23,3,3,0.0,0
2020-03-24,4,4,1.25,3
2020-03-25,3,3,1.0,3
2020-03-26,2,2,0.0,0
2020-03-27,4,3,0.0,0
2020-03-28,1,1,0.0,0
2020-03-29,1,1,0.0,0
2020-03-30,8,8,0.5,2
2020-03-31,4,4,1.0,2
2020-04-01,6,6,1.3333333333333333,3
2020-04-02,5,5,1.0,3
2020-04-04,3,3,0.6666666666666666,2
2020-04-05,2,2,4.0,5
2020-04-06,5,5,0.6,3
2020-04-08,2,2,1.0,2
2020-04-09,4,4,1.0,2
2020-04-10,1,1,2.0,2
2020-04-12,3,3,1.3333333333333333,2
2020-04-13,2,2,0.0,0
2020-04-14,4,4,0.75,3
2020-04-15,3,3,0.6666666666666666,2
2020-04-16,1,1,2.0,2
2020-04-17,1,1,0.0,0
2020-04-18,1,1,0.0,0
2020-04-19,2,2,1.5,3
2020-04-20,11,11,0.7272727272727273,2
2020-04-21,7,7,0.5714285714285714,2
2020-04-22,1,1,0.0,0
2020-04-23,7,7,0.2857142857142857,2
2020-04-24,1,1,0.0,0
2020-04-25,3,3,0.6666666666666666,2
2020-04-26,1,1,0.0,0
2020-04-27,2,2,2.0,2
2020-04-29,5,5,0.4,2
2020-04-30,6,5,0.8333333333333334,3
2020-05-01,1,1,0.0,0
2020-05-12,1,1,0.0,0
2020-05-14,1,1,0.0,0
2020-05-15,2,2,1.0,2
2020-05-16,1,1,0.0,0
2020-05-28,2,2,1.0,2
2020-06-08,1,1,2.0,2
2020-06-12,1,1,0.0,0
2020-06-17,1,1,0.0,0
2020-06-23,1,1,0.0,0
2020-06-30,1,1,0.0,0
2020-07-01,2,2,0.0,0
2020-07-02,2,2,1.0,2
2020-07-06,1,1,2.0,2
2020-07-10,1,1,2.0,2
2020-07-14,1,1,0.0,0
2020-07-28,1,1,2.0,2
2020-07-30,2,2,0.0,0
2020-08-13,3,3,2.0,2
2020-08-25,1,1,2.0,2
2020-09-13,1,1,2.0,2
2020-09-22,1,1,2.0,2
2020-09-24,1,1,2.0,2
2020-09-29,1,1,2.0,2
2020-10-02,4,4,1.0,2
2020-10-19,1,1,0.0,0
2020-10-27,2,2,1.0,2
2020-10-29,1,1,0.0,0
2020-10-30,2,2,2.0,2
2020-11-01,1,1,2.0,2
2020-11-02,1,1,0.0,0
2020-11-03,1,1,5.0,5
2020-11-10,2,2,1.0,2
2020-11-11,1,1,0.0,0
2020-11-15,1,1,2.0,2
2020-11-18,1,1,0.0,0
2020-11-21,1,1,0.0,0
2020-11-23,1,1,0.0,0
2020-11-30,2,2,1.0,2
2020-12-17,1,1,2.0,2
2020-12-21,1,1,2.0,2
2020-12-23,1,1,2.0,2
2020-12-30,1,1,2.0,2
2021-01-02,1,1,0.0,0
2021-01-04,1,1,2.0,2
2021-01-05,1,1,0.0,0
2021-01-06,1,1,0.0,0
2021-01-07,1,1,0.0,0
2021-01-08,1,1,0.0,0
2021-02-02,1,1,2.0,2
2021-02-03,1,1,0.0,0
2021-02-04,3,3,2.0,2
2021-02-07,2,2,2.0,2
2021-02-08,1,1,2.0,2
2021-02-11,2,2,2.0,2
2021-02-15,1,1,2.0,2
2021-03-10,1,1,0.0,0
2021-03-17,1,1,2.0,2
2021-03-18,1,1,2.0,2
2021-03-21,1,1,2.0,2
2021-03-29,1,1,2.0,2
2021-04-02,1,1,0.0,0
2021-04-05,1,1,2.0,2
2021-04-21,1,1,0.0,0
2021-04-29,1,1,0.0,0
2021-05-03,1,1,0.0,0
2021-05-04,1,1,0.0,0
2021-05-12,1,1,0.0,0
2021-05-13,1,1,0.0,0
2021-06-03,1,1,2.0,2
2021-06-11,1,1,2.0,2
2021-06-24,1,1,2.0,2
2021-07-12,1,1,0.0,0
2021-07-19,1,0,2.0,2
2021-08-04,1,1,2.0,2
2021-08-16,1,1,0.0,0
2021-08-27,1,1,2.0,2
2021-09-14,1,1,2.0,2
2021-09-28,2,2,3.5,5
2021-10-04,1,1,2.0,2
2021-10-11,1,1,0.0,0
2021-10-13,1,1,0.0,0
2021-10-14,1,1,2.0,2
2021-10-18,1,1,5.0,5
2021-10-19,1,1,0.0,0
2021-10-21,1,1,2.0,2
2021-10-29,1,1,2.0,2
2021-11-09,1,1,2.0,2
2021-11-18,1,1,0.0,0
2021-11-22,1,1,0.0,0
2021-11-24,1,1,0.0,0
2021-11-26,1,1,2.0,2
2021-12-01,1,1,0.0,0
2021-12-06,1,1,0.0,0
2021-12-08,1,1,0.0,0
2021-12-09,1,1,0.0,0
2021-12-15,1,1,0.0,0
2021-12-20,1,1,0.0,0
2021-12-22,1,1,2.0,2
2022-01-24,1,1,2.0,2
2022-01-26,1,1,2.0,2
2022-01-31,1,1,2.0,2
2022-02-01,1,1,0.0,0
2022-02-02,1,1,2.0,2
2022-02-04,2,2,3.0,3
2022-02-10,2,2,0.0,0
2022-02-12,1,1,2.0,2
2022-02-14,1,1,6.0,6
2022-02-15,1,1,0.0,0
2022-02-16,1,1,2.0,2
2022-02-22,4,4,3.0,3
2022-02-23,5,5,3.6,6
2022-02-24,12,12,3.0,6
2022-02-25,3,3,3.6666666666666665,6
2022-02-27,1,1,6.0,6
2022-02-28,4,4,3.25,5
2022-03-01,6,6,3.6666666666666665,8
2022-03-02,8,8,3.125,6
2022-03-03,6,6,4.5,6
2022-03-04,8,8,4.125,8
2022-03-06,3,3,3.0,3
2022-03-07,16,15,3.25,6
2022-03-08,12,12,3.6666666666666665,6
2022-03-09,4,4,2.5,3
2022-03-10,5,5,3.8,6
2022-03-11,4,4,3.5,6
2022-03-12,2,2,2.5,3
2022-03-14,2,2,1.0,2
2022-03-15,2,2,4.0,6
2022-03-17,3,3,3.3333333333333335,6
2022-03-18,1,1,3.0,3
2022-03-22,3,3,2.6666666666666665,3
2022-03-23,3,3,3.3333333333333335,6
2022-03-25,3,3,1.6666666666666667,3
2022-03-28,3,3,1.3333333333333333,2
2022-03-29,3,3,2.6666666666666665,3
2022-04-01,3,3,2.6666666666666665,3
2022-04-05,3,3,3.0,3
2022-04-06,3,3,3.0,6
2022-04-07,3,3,1.6666666666666667,3
2022-04-08,2,2,1.5,3
2022-04-09,1,1,0.0,0
2022-04-11,1,1,2.0,2
2022-04-12,2,2,4.0,6
2022-04-14,2,2,3.0,3
2022-04-15,1,1,3.0,3
2022-04-18,2,2,1.5,3
2022-04-19,1,1,3.0,3
2022-04-20,1,1,2.0,2
2022-04-21,1,1,2.0,2
2022-04-22,2,2,2.5,3
2022-04-25,1,1,2.0,2
2022-04-27,1,1,3.0,3
2022-04-28,1,1,0.0,0
2022-04-29,1,1,2.0,2
2022-05-03,2,2,3.0,3
2022-05-04,3,3,3.3333333333333335,5
2022-05-05,1,1,3.0,3
2022-05-07,2,2,4.0,5
2022-05-08,2,2,3.5,5
2022-05-10,3,3,2.3333333333333335,3
2022-05-16,1,1,2.0,2
2022-05-18,2,2,4.0,8
2022-05-19,4,4,1.25,3
2022-05-25,1,1,3.0,3
2022-05-27,1,1,0.0,0
2022-05-30,3,3,3.3333333333333335,5
2022-05-31,5,5,2.0,6
2022-06-01,2,2,2.5,3
2022-06-02,1,1,2.0,2
2022-06-03,1,1,2.0,2
2022-06-08,2,2,1.0,2
2022-06-10,1,1,3.0,3
2022-06-11,1,1,5.0,5
2022-06-13,2,2,4.0,5
2022-06-14,1,1,3.0,3
2022-06-15,1,1,2.0,2
2022-06-19,1,1,3.0,3
2022-06-20,2,2,5.0,5
2022-06-22,1,1,2.0,2
2022-06-23,2,2,2.5,3
2022-06-24,1,1,3.0,3
2022-06-26,1,1,6.0,6
2022-06-27,1,1,2.0,2
2022-06-30,2,2,5.5,6
2022-07-01,2,2,2.5,3
2022-07-04,2,2,3.0,3
2022-07-05,2,2,1.0,2
2022-07-06,1,1,2.0,2
2022-07-08,1,1,4.0,4
2022-07-11,1,1,0.0,0
2022-07-12,1,1,0.0,0
2022-07-13,2,2,1.0,2
2022-07-14,2,2,1.5,3
2022-07-15,1,1,0.0,0
2022-07-16,1,1,2.0,2
2022-07-18,1,1,0.0,0
2022-07-21,4,4,1.25,3
2022-07-22,1,1,4.0,4
2022-07-25,1,1,0.0,0
2022-08-02,3,3,1.0,3
2022-08-04,1,1,6.0,6
2022-08-05,1,1,2.0,2
2022-08-10,1,1,2.0,2
2022-08-11,1,1,2.0,2
2022-08-18,1,1,0.0,0
2022-08-25,1,1,0.0,0
2022-08-26,1,1,0.0,0
2022-08-30,1,1,0.0,0
2022-09-01,1,1,0.0,0
2022-09-02,3,3,2.0,3
2022-09-05,1,1,0.0,0
2022-09-06,3,3,0.0,0
2022-09-08,1,1,0.0,0
2022-09-09,1,1,2.0,2
2022-09-12,2,2,0.0,0
2022-09-13,1,1,0.0,0
2022-09-14,1,1,3.0,3
2022-09-15,2,2,1.5,3
2022-09-16,5,5,1.0,3
2022-09-20,3,3,0.6666666666666666,2
2022-09-21,3,3,1.0,3
2022-09-22,1,1,0.0,0
2022-09-24,2,2,1.5,3
2022-09-26,1,1,2.0,2
2022-09-29,2,2,3.5,5
2022-09-30,3,3,0.6666666666666666,2
2022-10-04,2,2,1.5,3
2022-10-05,2,2,0.0,0
2022-10-06,1,1,3.0,3
2022-10-07,1,1,3.0,3
2022-10-10,1,1,0.0,0
2022-10-12,3,3,1.6666666666666667,5
2022-10-14,1,1,0.0,0
2022-10-18,1,1,2.0,2
2022-10-19,3,3,0.6666666666666666,2
2022-10-21,1,1,0.0,0
2022-10-23,1,1,3.0,3
2022-10-25,1,1,2.0,2
2022-10-26,2,2,1.0,2
2022-10-27,1,1,0.0,0
2022-10-29,1,1,0.0,0
2022-10-31,1,1,0.0,0
2022-11-01,2,2,3.0,6
2022-11-05,1,1,0.0,0
2022-11-09,2,2,2.0,4
2022-11-11,1,1,0.0,0
2022-11-14,2,2,1.0,2
2022-11-15,1,1,0.0,0
2022-11-16,1,1,0.0,0
2022-11-17,1,1,0.0,0
2022-11-22,1,1,0.0,0
2022-11-23,1,1,2.0,2
2022-11-24,2,2,0.0,0
2022-11-28,1,1,2.0,2
2022-11-30,1,1,3.0,3
2022-12-02,4,4,2.0,3
2022-12-03,3,3,3.0,3
2022-12-04,1,1,5.0,5
2022-12-05,7,7,2.7142857142857144,3
2022-12-07,1,1,3.0,3
2022-12-09,3,3,2.3333333333333335,3
2022-12-12,2,2,0.0,0
2022-12-16,1,1,0.0,0
2022-12-19,2,2,3.0,6
2022-12-20,1,1,2.0,2
2022-12-22,1,1,2.0,2
2022-12-23,1,1,3.0,3
2022-12-26,1,1,0.0,0
2022-12-27,2,2,1.5,3
2022-12-29,1,1,0.0,0
2023-07-05,9,9,5.666666666666667,8
2023-07-06,2,2,3.5,5
2023-07-10,2,2,3.5,4
2023-07-15,1,1,5.0,5
2023-07-16,1,1,7.0,7
2023-07-18,1,1,3.0,3
2023-07-21,1,1,3.0,3
2023-08-03,2,2,4.0,5
2023-08-05,1,1,3.0,3
2023-08-07,1,1,6.0,6
2023-08-10,2,2,2.5,3
2023-08-11,1,1,5.0,5
2023-08-13,1,1,5.0,5
2023-08-16,2,2,5.0,5
2023-08-22,1,1,2.0,2
2023-08-26,2,2,3.5,5
2023-09-12,1,1,2.0,2
2023-09-17,1,1,5.0,5
2023-09-18,1,1,3.0,3
2023-09-19,2,2,2.0,2
2023-09-28,2,2,3.5,4
2023-09-29,1,1,2.0,2
2023-10-05,1,1,5.0,5
2023-10-07,1,1,7.0,7
2023-10-08,8,8,3.125,7
2023-10-09,18,18,2.8333333333333335,8
2023-10-10,8,8,2.875,5
2023-10-11,13,13,3.0,8
2023-10-12,8,8,2.375,5
2023-10-13,3,3,6.0,7
2023-10-15,2,2,4.0,5
2023-10-16,9,9,3.0,5
2023-10-17,6,6,3.5,5
2023-10-18,6,6,4.5,8
2023-10-19,2,2,2.5,5
2023-10-20,8,8,4.0,10
2023-10-22,1,1,0.0,0
2023-10-23,4,4,3.75,6
2023-10-24,3,3,2.6666666666666665,5
2023-10-25,5,5,4.4,10
2023-10-26,2,2,4.0,5
2023-10-27,1,1,5.0,5
2023-10-30,3,3,4.666666666666667,8
2023-10-31,2,2,2.5,5
2023-11-01,1,1,8.0,8
2023-11-02,2,2,3.0,6
2023-11-03,2,2,4.0,5
2023-11-04,1,1,3.0,3
2023-11-06,1,1,3.0,3
2023-11-07,1,1,3.0,3
2023-11-09,1,1,5.0,5
2023-11-10,1,1,0.0,0
2023-11-15,1,1,3.0,3
2023-11-16,1,1,5.0,5
2023-11-19,1,1,2.0,2
2023-11-21,3,3,4.333333333333333,5
2023-11-28,1,1,3.0,3
2023-11-29,2,2,2.5,5
2023-11-30,2,2,1.5,3
2023-12-04,1,1,3.0,3
2023-12-10,1,1,5.0,5
2023-12-12,1,1,3.0,3
2023-12-14,1,1,3.0,3
2023-12-27,1,1,2.0,2
2023-12-28,1,1,2.0,2
2024-01-02,3,3,0.6666666666666666,2
2024-01-03,1,1,2.0,2
2024-01-04,2,2,3.5,5
2024-01-07,2,2,2.0,2
2024-01-08,2,2,4.5,5
2024-01-10,1,1,5.0,5
2024-01-11,8,8,4.875,9
2024-01-12,3,3,4.333333333333333,5
2024-01-14,1,1,5.0,5
2024-01-15,2,2,3.5,5
2024-01-16,2,2,4.0,5
2024-01-20,1,1,5.0,5
2024-01-22,1,1,5.0,5
2024-01-29,1,1,5.0,5
2024-01-30,1,1,5.0,5
2024-01-31,1,1,5.0,5
2024-02-01,1,1,2.0,2
2024-02-06,1,1,2.0,2
2024-02-08,1,1,5.0,5
2024-02-12,1,1,5.0,5
2024-02-13,2,2,3.5,5
2024-02-14,1,1,0.0,0
2024-02-16,1,1,3.0,3
2024-02-27,1,1,0.0,0
2024-02-29,1,1,5.0,5
2024-03-08,1,1,4.0,4
2024-03-11,1,1,5.0,5
2024-03-18,1,1,2.0,2
2024-03-26,1,1,5.0,5
2024-03-28,1,1,2.0,2
2024-04-02,1,1,5.0,5
2024-04-04,1,1,0.0,0
2024-04-05,1,1,5.0,5
2024-04-09,2,2,2.5,5
2024-04-10,3,3,3.0,5
2024-04-12,2,2,4.5,7
2024-04-13,2,2,5.5,6
2024-04-14,4,4,2.75,5
2024-04-15,14,14,3.142857142857143,7
2024-04-16,6,6,5.333333333333333,11
2024-04-17,4,4,5.25,10
2024-04-18,6,6,5.333333333333333,10
2024-04-19,5,5,3.8,8
2024-04-20,2,2,6.0,7
2024-04-21,3,3,9.0,11
2024-04-22,5,5,4.0,8
2024-04-23,1,1,2.0,2
2024-04-24,2,2,3.5,5
2024-04-25,3,3,7.0,8
2024-04-29,1,1,3.0,3
2024-04-30,1,1,2.0,2
2024-05-02,1,1,4.0,4
2024-05-03,1,1,4.0,4
2024-05-06,1,1,5.0,5
2024-05-10,1,1,5.0,5
2024-05-14,1,1,8.0,8
2024-05-20,1,1,2.0,2
2024-05-23,1,1,5.0,5
2024-05-29,1,1,5.0,5
2024-06-04,1,1,3.0,3
2024-06-12,2,2,1.5,3
2024-06-16,1,1,5.0,5
2024-06-18,1,1,0.0,0
2024-06-20,2,2,2.5,5
2024-06-26,1,1,2.0,2
2024-06-28,1,1,3.0,3
2024-09-10,1,1,3.0,3
2024-10-11,1,1,5.0,5
2024-12-10,1,1,2.0,2
2025-01-23,1,1,0.0,0
2025-03-03,1,1,0.0,0
2025-03-17,1,1,0.0,0
2025-04-03,1,1,0.0,0
2025-04-14,2,2,3.0,6
2025-05-04,2,2,0.0,0
2025-05-06,3,3,0.0,0
2025-05-07,1,1,0.0,0
2025-05-11,1,1,0.0,0
2025-05-13,1,1,4.0,4
2025-05-14,1,1,3.0,3
2025-05-22,1,1,0.0,0
2025-05-27,1,1,2.0,2
2025-05-29,1,1,3.0,3
2025-05-30,1,1,0.0,0
2025-06-02,2,2,1.5,3
2025-06-03,1,1,4.0,4
2025-06-04,1,1,0.0,0
2025-06-12,1,1,7.0,7
2025-06-13,2,2,1.0,2
2025-06-16,1,1,6.0,6
2025-06-18,1,1,5.0,5
2025-06-19,1,1,5.0,5
2025-06-20,2,2,5.0,5
2025-06-21,1,1,2.0,2
2025-06-23,6,6,3.8333333333333335,5
2025-06-24,2,2,5.0,5
2025-06-25,2,2,4.0,5
2025-06-28,1,1,2.0,2
2025-07-05,1,1,0.0,0
2025-07-07,2,2,0.0,0
2025-07-10,1,1,0.0,0
2025-07-11,1,1,2.0,2
2025-07-19,1,1,0.0,0
2025-08-06,2,2,1.0,2
2025-08-12,1,1,0.0,0
2025-08-21,2,2,1.0,2
2025-08-24,1,1,2.0,2
2025-09-03,1,1,0.0,0
2025-09-07,1,1,0.0,0
2025-09-08,1,1,0.0,0
2025-09-18,1,1,0.0,0
2025-09-26,1,1,3.0,3
2025-10-03,1,1,0.0,0
2025-10-05,1,1,0.0,0
2025-10-06,1,1,0.0,0
2025-10-22,1,1,0.0,0
2025-10-26,1,1,0.0,0
2025-10-31,1,1,0.0,0
2025-11-03,1,1,0.0,0
2025-11-05,1,1,0.0,0
2025-11-09,1,1,0.0,0
2025-11-11,1,1,0.0,0
2025-11-12,3,3,0.0,0
2025-11-14,1,1,0.0,0
2025-11-18,2,2,0.0,0
2025-11-22,1,1,0.0,0
2025-11-27,1,1,0.0,0
2025-12-01,2,2,0.0,0
2025-12-02,1,1,0.0,0
2025-12-04,1,1,0.0,0
2025-12-11,1,1,0.0,0
2025-12-15,1,1,2.0,2
2026-01-12,2,2,3.5,5
2026-01-13,1,1,5.0,5
2026-01-14,1,1,2.0,2
2026-01-15,1,1,0.0,0
2026-01-16,1,1,2.0,2
2026-01-26,1,1,0.0,0
2026-01-30,2,2,3.5,7
2026-02-12,1,1,0.0,0
2026-02-15,1,1,0.0,0
2026-02-17,1,1,5.0,5
2026-02-18,1,1,2.0,2
2026-02-19,2,2,2.0,4
2026-02-22,2,2,3.5,5
2026-02-28,1,1,5.0,5
2026-03-01,11,11,4.363636363636363,8
2026-03-02,16,16,4.25,8
2026-03-03,16,16,4.0,8
2026-03-04,6,6,4.666666666666667,8
2026-03-05,3,3,0.6666666666666666,2
2026-03-06,10,10,1.8,5
2026-03-07,5,5,2.4,5
2026-03-08,9,9,3.0,7
2026-03-09,18,18,2.6666666666666665,7
2026-03-10,13,13,2.923076923076923,8
2026-03-11,12,12,3.1666666666666665,8
2026-03-12,15,15,2.3333333333333335,5
2026-03-13,11,11,2.727272727272727,5
2026-03-14,3,3,2.3333333333333335,7
2026-03-15,3,3,5.0,5
2026-03-16,3,3,3.3333333333333335,5
2026-03-17,9,9,4.333333333333333,8
2026-03-18,7,7,3.4285714285714284,5
2026-03-19,3,3,5.333333333333333,7
2026-03-20,3,3,3.6666666666666665,5
2026-03-21,2,2,1.5,3
2026-03-23,7,7,3.2857142857142856,5
2026-03-24,4,4,3.75,5
2026-03-25,4,4,3.5,5
2026-03-26,6,6,1.8333333333333333,5
2026-03-27,4,4,3.25,5
2026-03-28,2,2,2.5,5
2026-03-29,4,4,2.5,3
2026-03-30,3,3,4.0,7
2026-03-31,3,3,5.0,5
2026-04-01,5,5,2.8,3
2026-04-02,1,1,7.0,7
2026-04-03,4,4,2.5,5
2026-04-05,1,1,5.0,5
2026-04-06,3,3,1.6666666666666667,5
2026-04-07,11,11,3.1818181818181817,8
2026-04-08,3,3,2.0,6
2026-04-09,2,2,1.5,3
2026-04-10,2,2,1.0,2
2026-04-11,1,1,0.0,0
2026-04-12,2,2,1.5,3
2026-04-13,6,6,2.0,5
2026-04-14,1,1,2.0,2
2026-04-16,1,1,5.0,5
2026-04-17,7,7,3.5714285714285716,5
2026-04-18,2,2,1.5,3
2026-04-19,6,6,2.8333333333333335,5
2026-04-20,6,6,2.3333333333333335,5
2026-04-21,4,4,3.75,7
2026-04-22,2,2,1.5,3
2026-04-23,6,6,1.6666666666666667,5
2026-04-26,1,1,5.0,5
2026-04-27,1,1,0.0,0
2026-04-28,9,9,1.3333333333333333,5
2026-04-29,9,9,1.5555555555555556,5
2026-04-30,8,8,2.75,7
2026-05-01,4,4,3.0,5
2026-05-02,1,1,0.0,0
2026-05-03,2,2,2.5,5
2026-05-04,3,3,3.6666666666666665,5
2026-05-05,7,7,1.7142857142857142,5
2026-05-06,6,6,2.0,5
2026-05-07,4,4,2.5,3
2026-05-08,3,3,2.3333333333333335,5
2026-05-10,3,3,3.0,5
2026-05-11,3,3,3.3333333333333335,5
2026-05-15,2,2,5.5,8
2026-05-16,1,1,3.0,3
2026-05-18,1,1,2.0,2
2026-05-20,2,2,3.0,3
2026-05-21,1,1,2.0,2
2026-05-24,1,1,2.0,2
2026-05-26,4,4,3.0,5
2026-05-27,4,4,2.0,2
2026-05-28,3,3,3.0,5
